"Table 203.20. Enrollment in public elementary and secondary schools, by region, state, and jurisdiction: Selected years, fall 1990 through fall 2028",,,,,,,,,,,,,,,,,,,,,
"Region, state, and jurisdiction",Actual total enrollment,,,,,,,,,,,,,"Percent change in total enroll-ment, 2011 to 2016",Projected enrollment,,,,,,"Percent change in total enroll-ment, 2016 to 2028"
,Fall 1990,Fall 2000,Fall 2006,Fall 2007,Fall 2008,Fall 2009,Fall 2010,Fall 2011,Fall 2012,Fall 2013,Fall 2014,Fall 2015\1\,Fall 2016\2\,,Fall 2017,Fall 2018,Fall 2019,Fall 2020,Fall 2021,Fall 2028,
1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
   United States ...............,"41,216,683","47,203,539","49,315,842","49,290,559","49,265,572","49,360,982","49,484,181","49,521,669","49,771,118","50,044,522","50,312,581","50,438,043","50,615,189",2.2,"50,695,200","50,728,400","50,770,000","50,857,100","50,891,900","51,418,700",1.6
Region,,,,,,,,,,,,,,,,,,,,,
  Northeast .......................,"7,281,763","8,222,127","8,257,889","8,122,022","8,052,985","8,092,029","8,071,335","7,953,981","7,959,128","7,961,243","7,979,856","7,933,762","7,959,304",0.1,"7,928,200","7,896,100","7,870,000","7,852,100","7,823,000","7,663,700",-3.7
  Midwest .......................,"9,943,761","10,729,987","10,819,248","10,770,210","10,742,973","10,672,171","10,609,604","10,573,792","10,559,230","10,572,920","10,560,539","10,555,579","10,538,947",-0.3,"10,514,400","10,485,600","10,457,400","10,443,900","10,417,300","10,316,100",-2.1
  South .......................,"14,807,016","17,007,261","18,293,633","18,422,773","18,490,770","18,651,889","18,805,000","18,955,932","19,128,376","19,298,714","19,506,193","19,641,472","19,749,816",4.2,"19,845,300","19,914,100","19,987,400","20,080,900","20,166,800","20,815,500",5.4
  West .......................,"9,184,143","11,244,164","11,945,072","11,975,554","11,978,844","11,944,893","11,998,242","12,037,964","12,124,384","12,211,645","12,265,993","12,307,230","12,367,122",2.7,"12,407,400","12,432,600","12,455,300","12,480,200","12,484,700","12,623,400",2.1
,,,,,,,,,,,,,,,,,,,,,
State,,,,,,,,,,,,,,,,,,,,,
  Alabama .......................,"721,806","739,992","743,632","742,919","745,668","748,889","755,552","744,621","744,637","746,204","744,164","743,789","744,930",#,"739,400","734,200","732,200","732,300","732,700","740,900",-0.5
  Alaska .........................,"113,903","133,356","132,608","131,029","130,662","131,661","132,104","131,167","131,489","130,944","131,176","132,477","132,737",1.2,"133,700","134,300","135,100","136,200","137,400","144,400",8.8
  Arizona ......................,"639,853","877,696","1,068,249","1,087,447","1,087,817","1,077,831","1,071,751","1,080,319","1,089,384","1,102,445","1,111,695","1,109,040","1,123,137",4.0,"1,127,400","1,131,700","1,135,000","1,140,200","1,143,300","1,172,900",4.4
  Arkansas ........................,"436,286","449,959","476,409","479,016","478,965","480,559","482,114","483,114","486,157","489,979","490,917","492,132","493,447",2.1,"493,700","494,000","494,600","495,200","496,400","510,700",3.5
  California ......................,"4,950,474","6,140,814","6,406,750","6,343,471","6,322,528","6,263,438","6,289,578","6,287,834","6,299,451","6,312,623","6,312,161","6,305,347","6,309,138",0.3,"6,307,600","6,293,000","6,277,900","6,261,100","6,232,500","6,137,800",-2.7
,, , , , , ,,,,,,,,,,,,,,,
  Colorado .......................,"574,213","724,508","794,026","801,867","818,443","832,368","843,316","854,265","863,561","876,999","889,006","899,112","905,019",5.9,"909,900","913,500","916,600","919,500","920,600","948,400",4.8
  Connecticut .............,"469,123","562,179","575,100","570,626","567,198","563,968","560,546","554,437","550,954","546,200","542,678","537,933","535,118",-3.5,"528,100","521,400","514,600","508,800","501,700","471,100",-12.0
  Delaware .......................,"99,658","114,676","122,254","122,574","125,430","126,801","129,403","128,946","129,026","131,687","134,042","134,847","136,264",5.7,"137,400","138,300","139,100","139,800","140,300","141,000",3.5
  District of Columbia ....,"80,694","68,925","72,850","78,422","68,681","69,433","71,284","73,911","76,140","78,153","80,958","84,024","85,850",16.2,"86,400","89,100","91,900","94,500","97,000","105,300",22.6
  Florida ........................,"1,861,592","2,434,821","2,671,513","2,666,811","2,631,020","2,634,522","2,643,347","2,668,156","2,692,162","2,720,744","2,756,944","2,792,234","2,816,791",5.6,"2,842,300","2,863,200","2,883,600","2,911,400","2,938,000","3,119,600",10.8
,, , , , , ,,,,,,,,,,,,,,,
  Georgia ........................,"1,151,687","1,444,937","1,629,157","1,649,589","1,655,792","1,667,685","1,677,067","1,685,016","1,703,332","1,723,909","1,744,437","1,757,237","1,764,346",4.7,"1,769,500","1,772,800","1,776,000","1,781,000","1,785,900","1,814,200",2.8
  Hawaii ...........................,"171,708","184,360","180,728","179,897","179,478","180,196","179,601","182,706","184,760","186,825","182,384","181,995","181,550",-0.6,"181,600","180,700","180,300","179,600","178,700","171,800",-5.4
  Idaho ........................,"220,840","245,117","267,380","272,119","275,051","276,299","275,859","279,873","284,834","296,476","290,885","292,277","297,200",6.2,"299,700","302,500","304,900","307,600","309,800","324,300",9.1
  Illinois .........................,"1,821,407","2,048,792","2,118,276","2,112,805","2,119,707","2,104,175","2,091,654","2,083,097","2,072,880","2,066,990","2,050,239","2,041,779","2,026,718",-2.7,"2,023,500","2,015,100","2,006,500","2,001,000","1,988,300","1,894,300",-6.5
